[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         39 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         25 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         30 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         35 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         40 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         25 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         30 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         35 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         40 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         41 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         25 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         30 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         35 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         40 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         45 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         42 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         25 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         30 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         35 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         40 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         45 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         50 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         55 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         60 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         43 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         44 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         25 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         30 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         35 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         40 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         45 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         50 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         55 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         60 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         65 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         70 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         75 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         80 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         45 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | scan :         46 | per_scan_loss : 0.0000000000]
[epoch :          1 | batch :          5 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         10 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         15 | per_batch_loss : 0.0000000000]
[epoch :          1 | batch :         20 | per_batch_loss : 0.0000000000]
